datetime,open,high,low,close,volume
2025-05-05 19:45:00,198.8400,198.8600,198.5600,198.6000,25924
2025-05-05 19:30:00,198.6800,198.9300,198.6400,198.8500,16707
2025-05-05 19:15:00,198.7781,198.7800,198.6800,198.6800,9558
2025-05-05 19:00:00,198.6500,198.7800,198.5600,198.7700,8495
2025-05-05 18:45:00,198.6800,198.8000,198.5600,198.6800,15934
2025-05-05 18:30:00,198.8000,198.8900,198.6800,198.8000,12333
2025-05-05 18:15:00,198.7900,198.8700,198.7013,198.8100,9522
2025-05-05 18:00:00,198.6700,198.8800,198.6000,198.7900,13106
2025-05-05 17:45:00,198.6800,198.8900,198.6200,198.6800,1540905
2025-05-05 17:30:00,198.7600,198.7900,198.5600,198.7198,18490
2025-05-05 17:15:00,198.9200,198.9200,198.7200,198.7897,51176
2025-05-05 17:00:00,198.9800,205.9336,198.7500,198.7500,22477
2025-05-05 16:45:00,198.7600,207.4218,196.1097,198.9900,43031
2025-05-05 16:30:00,198.7200,198.9000,198.5505,198.8700,1393241
2025-05-05 16:15:00,198.8200,198.9500,198.5500,198.7200,181331
2025-05-05 16:00:00,198.7700,203.0000,198.7000,198.8100,20428869
2025-05-05 15:45:00,199.2700,199.3650,198.5120,198.7700,4803831
2025-05-05 15:30:00,199.4000,199.6000,199.0800,199.2503,1984418
2025-05-05 15:15:00,200.2850,200.4800,199.4000,199.4000,1812143
2025-05-05 15:00:00,200.5200,200.5200,200.0700,200.2600,1221756
2025-05-05 14:45:00,200.8500,201.0400,200.4300,200.5300,1117454
2025-05-05 14:30:00,200.9500,201.1600,200.5950,200.8523,1249641
2025-05-05 14:15:00,201.0500,201.0800,200.6600,200.9600,863721
2025-05-05 14:00:00,200.3700,201.0900,200.1600,201.0550,1275627
2025-05-05 13:45:00,200.4001,200.6300,200.3000,200.3700,839673
2025-05-05 13:30:00,200.4100,200.6300,200.2700,200.4000,862805
2025-05-05 13:15:00,200.3150,200.6400,200.1600,200.4100,1051681
2025-05-05 13:00:00,199.8800,200.4700,199.6701,200.3200,1752684
2025-05-05 12:45:00,199.9273,200.0200,199.7200,199.8911,863941
2025-05-05 12:30:00,199.9600,200.0200,199.4400,199.9453,1216061
2025-05-05 12:15:00,199.1800,200.0400,199.1300,199.9740,1332898
2025-05-05 12:00:00,199.2750,199.7900,199.1000,199.1850,1559752
2025-05-05 11:45:00,198.9900,199.3300,198.8600,199.2750,1443803
2025-05-05 11:30:00,199.1976,199.4200,198.6600,199.0000,1641991
2025-05-05 11:15:00,198.8100,199.6500,198.7900,199.1996,1960354
2025-05-05 11:00:00,198.9100,199.0600,198.5000,198.8198,1686264
