datetime,open,high,low,close,volume,dividends,stock splits
2024-05-03 09:30:00-04:00,186.81500244140625,187.22999572753906,185.42999267578125,186.88079833984375,12693085,0.0,0.0
2024-05-03 10:30:00-04:00,186.89500427246094,187.8699951171875,185.72500610351562,185.77389526367188,6400873,0.0,0.0
2024-05-03 11:30:00-04:00,185.8000030517578,186.7899932861328,185.8000030517578,186.3350067138672,3127625,0.0,0.0
2024-05-03 12:30:00-04:00,186.3249969482422,186.8000030517578,185.95010375976562,186.27000427246094,2636132,0.0,0.0
2024-05-03 13:30:00-04:00,186.27000427246094,186.658203125,186.0500030517578,186.4149932861328,2638140,0.0,0.0
2024-05-03 14:30:00-04:00,186.4199981689453,186.66990661621094,186.0399932861328,186.17210388183594,2835576,0.0,0.0
2024-05-03 15:30:00-04:00,186.16000366210938,186.47999572753906,185.8300018310547,186.25,3639983,0.0,0.0
2024-05-06 09:30:00-04:00,186.33999633789062,186.468994140625,184.8000946044922,186.17999267578125,9170391,0.0,0.0
2024-05-06 10:30:00-04:00,186.12750244140625,187.13999938964844,186.02000427246094,186.8009033203125,4486979,0.0,0.0
2024-05-06 11:30:00-04:00,186.80999755859375,187.17999267578125,186.51019287109375,186.64869689941406,2783178,0.0,0.0
2024-05-06 12:30:00-04:00,186.64999389648438,186.9398956298828,186.36500549316406,186.55999755859375,2214025,0.0,0.0
2024-05-06 13:30:00-04:00,186.53660583496094,187.49000549316406,186.41000366210938,187.47999572753906,2456414,0.0,0.0
2024-05-06 14:30:00-04:00,187.48440551757812,187.75,187.21859741210938,187.64410400390625,3413057,0.0,0.0
2024-05-06 15:30:00-04:00,187.63999938964844,188.7449951171875,187.52499389648438,188.69000244140625,4505239,0.0,0.0
2024-05-07 09:30:00-04:00,188.92999267578125,189.41700744628906,188.11000061035156,188.25,8428322,0.0,0.0
2024-05-07 10:30:00-04:00,188.25,189.2100067138672,188.1199951171875,189.02999877929688,3438315,0.0,0.0
2024-05-07 11:30:00-04:00,189.0218963623047,189.94000244140625,188.83169555664062,189.1887969970703,4325211,0.0,0.0
2024-05-07 12:30:00-04:00,189.18600463867188,189.22000122070312,188.66009521484375,188.92999267578125,2641935,0.0,0.0
2024-05-07 13:30:00-04:00,188.9199981689453,189.20010375976562,187.72999572753906,187.85009765625,3081131,0.0,0.0
2024-05-07 14:30:00-04:00,187.84500122070312,188.36000061035156,187.30999755859375,188.16000366210938,3451180,0.0,0.0
2024-05-07 15:30:00-04:00,188.17999267578125,189.0399932861328,187.94000244140625,188.77999877929688,3350920,0.0,0.0
2024-05-08 09:30:00-04:00,187.30999755859375,188.25,186.38999938964844,187.64500427246094,7560631,0.0,0.0
